StationName,CountyName,Spring,Summer,Fall,Winter,Latitude,Longitude
Allentown,Lehigh,7.27,8.07,7.07,9.80,40.611944,-75.4325
Altoona,Blair,7.07,8.03,7.53,9.67,40.535278,-78.370833
Arendtsville,Adams,7.57,8.73,7.50,9.80,39.9231,-77.3078
Beaver Falls,Beaver,8.50,10.83,9.67,11.40,40.747796,-80.316442
Carlisle,Cumberland,7.63,8.47,8.30,11.47,40.246528,-77.18675
Charleroi,Washington,9.67,8.57,9.07,12.67,40.146667,-79.902222
Chester,Delaware,9.17,9.20,8.20,11.00,39.835556,-75.3725
Erie,Erie,6.90,7.17,6.53,8.27,42.14175,-80.038611
Farrell,Mercer,6.00,7.73,7.20,8.40,41.215014,-80.484779
Florence,Washington,6.20,7.97,7.00,7.43,40.445278,-80.420833
Fort McIntosh,Beaver,6.80,8.20,8.20,9.20,40.691857,-80.299211
Freemansburg,Northampton,7.03,7.80,8.63,10.97,40.628056,-75.341111
Greensburg,Westmoreland,7.27,9.17,7.10,9.40,40.304694,-79.505667
Harrisburg,Dauphin,8.30,9.37,8.83,12.37,40.246992,-76.846988
Holbrook,Greene,5.77,7.87,6.00,7.05,39.80933,-80.26567
Houston,Washington,7.37,9.30,7.00,8.75,40.268963,-80.243995
Johnstown,Cambria,9.00,10.63,8.53,10.30,40.309722,-78.915
Kittanning,Armstrong,7.83,9.57,7.77,8.30,40.814183,-79.56475
Lancaster,Lancaster,8.33,8.33,9.33,11.67,40.046667,-76.283333
Lebanon,Lebanon,7.87,8.27,8.23,11.57,40.338516,-76.394788
Marcus Hook,Delaware,7.80,8.20,7.43,9.70,39.818715,-75.413973
New Garden - Airport,Chester,7.10,7.93,7.17,9.17,39.834461,-75.768242
Norristown,Montgomery,6.90,7.50,7.27,9.57,40.112222,-75.309167
Reading Airport,Berks,7.00,7.00,7.83,11.03,40.38335,-75.9686
Salladasburg,Lycoming,6.27,7.33,5.80,10.50,41.266263,-77.231189
Scranton,Lackawanna,6.60,8.30,6.97,7.83,41.442778,-75.623056
State College,Centre,7.03,7.80,7.30,9.30,40.811389,-77.877028
Strongstown,Indiana,6.70,8.63,6.97,7.97,40.56333,-78.919972
Tioga County,Tioga,5.70,6.90,5.00,6.95,41.644722,-76.939167
Towanda,Bradford,6.27,6.83,6.10,8.55,41.705226,-76.512726
Tunkhannock,Wyoming,6.37,6.73,5.50,7.70,41.605244,-75.95774
Uniontown,Fayette,7.00,8.67,7.00,8.60,39.917663,-79.805499
York,York,8.33,8.90,7.43,9.40,39.965278,-76.699444
Philadelphia,Philadelphia,8.58,8.32,7.55,10.07,39.960048,-75.142614
