StationName,CountyName,Spring,Summer,Fall,Winter,Latitude,Longitude
Allentown,Lehigh,31.10,34.37,24.0,25.9,40.611944,-75.4325
Altoona,Blair,28.93,29.97,21.6,26.6,40.535278,-78.370833
Arendtsville,Adams,38.20,37.57,30.7,35.8,39.9231,-77.3078
Beaver Falls,Beaver,28.50,28.60,17.4,21.4,40.747796,-80.316442
Brighton Township,Beaver,38.20,36.73,27.9,32.4,40.684722,-80.359722
Bristol,Bucks,32.93,35.27,22.5,22.3,40.107222,-74.882222
Chester,Delaware,33.03,37.50,23.6,26.3,39.835556,-75.3725
Erie,Erie,31.93,34.23,26.3,28.6,42.14175,-80.038611
Farrell,Mercer,36.40,35.43,26.4,30.2,41.215014,-80.484779
Florence,Washington,32.53,28.77,22.6,32.1,40.445278,-80.420833
Fort McIntosh,Beaver,22.40,27.47,16.8,24.3,40.691857,-80.299211
Freemansburg,Northampton,32.40,34.00,21.6,24.2,40.628056,-75.341111
Greensburg,Westmoreland,27.17,26.30,19.5,21.9,40.304694,-79.505667
Harrisburg,Dauphin,30.07,31.93,19.8,23.2,40.246992,-76.846988
Hershey,Dauphin,30.83,33.47,21.8,25.6,40.272222,-76.681389
Holbrook,Greene,40.60,34.70,27.0,36.9,39.80933,-80.26567
Houston,Washington,31.23,24.93,18.7,27.1,40.268963,-80.243995
Johnstown,Cambria,31.33,31.07,20.1,26.1,40.309722,-78.915
Kittanning,Armstrong,32.97,32.10,21.4,31.3,40.814183,-79.56475
Kutztown,Berks,31.27,31.07,21.1,25.7,40.51408,-75.789721
Lancaster,Lancaster,30.13,33.53,22.2,25.6,40.046667,-76.283333
Lebanon,Lebanon,29.70,31.47,19.9,25.1,40.338516,-76.394788
Methodist Hill,Franklin,39.57,39.13,32.8,35.3,39.961111,-77.475556
Montoursville,Lycoming,30.23,29.67,19.1,25.6,41.2508,-76.9238
New Garden - Airport,Chester,32.57,34.20,29.3,29.8,39.834461,-75.768242
Norristown,Montgomery,34.60,36.20,21.5,26,40.112222,-75.309167
Reading Airport,Berks,35.73,33.20,20.4,25.1,40.38335,-75.9686
Scranton,Lackawanna,27.67,25.27,16.1,22.9,41.442778,-75.623056
State College,Centre,33.33,32.87,23.1,34.3,40.811389,-77.877028
Strongstown,Indiana,38.87,36.13,28.9,35.7,40.56333,-78.919972
Swiftwater,Monroe,35.53,34.53,21.8,28.8,41.08306,-75.32328
Tioga County,Tioga,38.93,38.00,29.8,34.9,41.644722,-76.939167
Towanda,Bradford,31.60,29.37,19.8,29,41.705226,-76.512726
Uniontown,Fayette,34.83,30.57,21.8,33.1,39.917663,-79.805499
York,York,33.63,35.00,23.3,26.2,39.965278,-76.699444
