StationName,CountyName,Spring,Summer,Fall,Winter,Latitude,Longitude
Allentown,Lehigh,178.43,208.67,112.10,60.20,40.611944,-75.4325
Altoona,Blair,154.97,219.80,110.47,60.30,40.535278,-78.370833
Arendtsville,Adams,162.63,847.27,114.03,69.27,39.9231,-77.3078
Beaver Falls,Beaver,155.97,216.13,104.87,49.10,40.747796,-80.316442
Brighton Township,Beaver,166.37,233.30,110.50,48.43,40.684722,-80.359722
Bristol,Bucks,184.10,251.13,130.50,74.53,40.107222,-74.882222
Carlisle,Cumberland,165.37,220.17,113.97,69.17,40.246528,-77.18675
Charleroi,Washington,168.90,218.47,114.57,60.43,40.146667,-79.902222
Chester,Delaware,171.80,225.23,126.30,74.23,39.835556,-75.3725
Erie,Erie,166.00,242.50,97.03,44.10,42.14175,-80.038611
Farrell,Mercer,165.43,227.33,113.03,54.33,41.215014,-80.484779
Florence,Washington,173.27,234.07,118.70,57.47,40.445278,-80.420833
Fort McIntosh,Beaver,211.40,226.30,114.67,55.77,40.691857,-80.299211
Freemansburg,Northampton,174.80,230.53,105.83,46.93,40.628056,-75.341111
Greensburg,Westmoreland,170.60,219.57,114.97,58.83,40.304694,-79.505667
Harrisburg,Dauphin,168.93,221.90,117.43,72.17,40.246992,-76.846988
Hershey,Dauphin,182.57,245.33,126.80,76.83,40.272222,-76.681389
Holbrook,Greene,176.37,224.57,113.50,58.13,39.80933,-80.26567
Houston,Washington,175.53,232.20,114.33,61.93,40.268963,-80.243995
Johnstown,Cambria,139.13,183.03,99.33,54.97,40.309722,-78.915
Kittanning,Armstrong,165.97,228.20,117.47,57.90,40.814183,-79.56475
Kutztown,Berks,168.47,234.90,120.30,65.27,40.51408,-75.789721
Lancaster,Lancaster,177.00,231.17,126.83,73.90,40.046667,-76.283333
Lebanon,Lebanon,176.07,231.60,116.47,66.63,40.338516,-76.394788
Methodist Hill,Franklin,144.57,163.93,80.80,39.33,39.961111,-77.475556
Montoursville,Lycoming,170.63,240.97,113.23,61.17,41.2508,-76.9238
New Garden - Airport,Chester,181.53,238.60,130.60,74.93,39.834461,-75.768242
Norristown,Montgomery,175.10,253.90,184.30,71.87,40.112222,-75.309167
Reading Airport,Berks,180.50,242.30,125.30,71.80,40.38335,-75.9686
Salladasburg,Lycoming,169.87,235.00,109.20,57.97,41.266263,-77.231189
Scranton,Lackawanna,160.40,221.57,104.70,55.83,41.442778,-75.623056
State College,Centre,193.77,249.53,137.10,81.63,40.811389,-77.877028
Swiftwater,Monroe,179.17,242.43,127.13,64.63,41.08306,-75.32328
Tioga County,Tioga,177.90,246.40,119.73,62.03,41.644722,-76.939167
Towanda,Bradford,176.40,239.90,115.33,60.20,41.705226,-76.512726
Tunkhannock,Wyoming,177.27,247.40,114.10,61.23,41.605244,-75.95774
Uniontown,Fayette,168.53,218.23,115.33,63.17,39.917663,-79.805499
York,York,174.63,229.57,121.37,72.70,39.965278,-76.699444
