StationName,CountyName,Spring,Summer,Fall,Winter,Latitude,Longitude
Allentown,Lehigh,5.93,4.43,5.13,6.20,40.611944,-75.4325
Altoona,Blair,2.93,2.23,2.57,3.17,40.535278,-78.370833
Arendtsville,Adams,9.10,6.70,7.57,8.30,39.9231,-77.3078
Beaver Falls,Beaver,3.00,2.23,2.30,3.00,40.747796,-80.316442
Brighton Township,Beaver,4.27,2.83,3.40,4.70,40.684722,-80.359722
Bristol,Bucks,5.70,3.97,3.93,4.97,40.107222,-74.882222
Carlisle,Cumberland,5.67,4.20,4.57,5.47,40.246528,-77.18675
Charleroi,Washington,4.40,3.73,3.60,4.23,40.146667,-79.902222
Chester,Delaware,5.83,4.53,3.53,3.80,39.835556,-75.3725
Erie,Erie,6.03,3.67,5.33,7.47,42.14175,-80.038611
Farrell,Mercer,6.47,4.40,5.47,7.23,41.215014,-80.484779
Florence,Washington,5.13,3.07,4.03,5.57,40.445278,-80.420833
Fort McIntosh,Beaver,3.60,3.80,3.73,6.20,40.691857,-80.299211
Freemansburg,Northampton,5.27,3.77,4.03,4.77,40.628056,-75.341111
Greensburg,Westmoreland,4.87,3.83,3.97,5.43,40.304694,-79.505667
Harrisburg,Dauphin,4.83,2.87,3.17,4.63,40.246992,-76.846988
Hershey,Dauphin,5.33,3.77,3.97,4.87,40.272222,-76.681389
Holbrook,Greene,6.33,3.47,5.03,6.60,39.80933,-80.26567
Houston,Washington,2.57,1.30,1.80,2.57,40.268963,-80.243995
Johnstown,Cambria,2.93,2.30,2.37,2.43,40.309722,-78.915
Kittanning,Armstrong,4.63,3.27,3.77,4.77,40.814183,-79.56475
Kutztown,Berks,4.30,2.73,3.00,3.67,40.51408,-75.789721
Lancaster,Lancaster,6.33,4.20,4.37,5.90,40.046667,-76.283333
Lebanon,Lebanon,5.60,3.53,3.73,5.30,40.338516,-76.394788
Methodist Hill,Franklin,8.27,5.00,6.67,10.20,39.961111,-77.475556
Montoursville,Lycoming,4.97,3.67,3.80,4.73,41.2508,-76.9238
New Garden - Airport,Chester,7.00,4.70,5.10,6.27,39.834461,-75.768242
Norristown,Montgomery,2.33,1.70,3.87,4.87,40.112222,-75.309167
Reading Airport,Berks,6.63,4.67,4.67,5.70,40.38335,-75.9686
Salladasburg,Lycoming,3.33,2.47,2.43,2.80,41.266263,-77.231189
Scranton,Lackawanna,3.77,2.13,2.30,3.17,41.442778,-75.623056
State College,Centre,4.83,3.27,4.00,5.50,40.811389,-77.877028
Strongstown,Indiana,5.40,3.00,4.33,6.97,40.56333,-78.919972
Swiftwater,Monroe,4.30,2.67,3.13,3.87,41.08306,-75.32328
Tioga County,Tioga,4.73,3.27,3.90,5.77,41.644722,-76.939167
Towanda,Bradford,3.57,2.70,2.70,3.70,41.705226,-76.512726
Tunkhannock,Wyoming,6.90,4.70,5.30,6.97,41.605244,-75.95774
Uniontown,Fayette,3.97,2.13,2.87,4.13,39.917663,-79.805499
York,York,6.17,4.87,4.93,5.67,39.965278,-76.699444
