TRatePercent,Health_Events,Geography,Calendar_Year,Gender,Race_Ethnicity,Age,Count,Population,DT_RATE,DT_LB,DT_UB1,Significance,Geography_Code
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Pennsylvania,2022,Total,All Races,All Ages,"21,076","12,972,008",162.5,160.3,164.7,,000
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Adams,2022,Total,All Races,All Ages,110,"106,027",103.7,84.4,123.1,-,001
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Allegheny,2022,Total,All Races,All Ages,"1,664","1,233,253",134.9,128.4,141.4,-,003
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Armstrong,2022,Total,All Races,All Ages,99,"64,747",152.9,122.8,183,,005
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Beaver,2022,Total,All Races,All Ages,238,"165,677",143.7,125.4,161.9,,007
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Bedford,2022,Total,All Races,All Ages,54,"47,418",113.9,83.5,144.3,-,009
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Berks,2022,Total,All Races,All Ages,907,"430,449",210.7,197,224.4,+,011
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Blair,2022,Total,All Races,All Ages,174,"121,032",143.8,122.4,165.1,,013
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Bradford,2022,Total,All Races,All Ages,127,"59,866",212.1,175.2,249,+,015
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Bucks,2022,Total,All Races,All Ages,963,"645,054",149.3,139.9,158.7,-,017
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Butler,2022,Total,All Races,All Ages,252,"197,300",127.7,112,143.5,-,019
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Cambria,2022,Total,All Races,All Ages,219,"131,441",166.6,144.5,188.7,,021
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Cameron,2022,Total,All Races,All Ages,11,"4,418",249,101.8,396.1,,023
Crude/Age-Specific Rate,Chronic lower respiratory diseases,Carbon,2022,Total,All Races,All Ages,114,"65,460",174.2,142.2,206.1,,025
